ball, prob, times since last drawn, expected difference between drawings, overdue?
21, 0.9886343372481395, 48, 11.452054794520548, True
52, 0.983403155833671, 55, 14.16949152542373, True
3, 0.973808249349492, 44, 12.86153846153846, True
27, 0.9637947021125393, 40, 12.86153846153846, True
10, 0.9308189227713043, 32, 12.86153846153846, True
63, 0.9253614095408852, 27, 11.297297297297296, True
20, 0.9249549704005149, 30, 12.477611940298507, True
25, 0.9233713084745794, 39, 16.076923076923077, True
53, 0.9113085391039285, 28, 12.477611940298507, True
11, 0.903391209107735, 34, 15.481481481481481, True
40, 0.8751362287984389, 26, 13.483870967741936, True
58, 0.8687135143072388, 30, 15.773584905660378, True
2, 0.845792211733583, 25, 14.413793103448276, True
1, 0.8351471511964804, 25, 14.928571428571429, True
30, 0.8219427468952661, 23, 14.413793103448276, True
28, 0.8167268468286962, 19, 12.294117647058824, True
23, 0.814797008835664, 18, 11.774647887323944, True
29, 0.7923501456349007, 23, 15.773584905660378, True
16, 0.7559280355615786, 17, 13.269841269841269, True
13, 0.7120892341685927, 21, 18.17391304347826, True
59, 0.7113495705286392, 13, 11.774647887323944, True
49, 0.6748536665796845, 18, 17.416666666666668, True
51, 0.6715696837315499, 16, 15.773584905660378, True
66, 0.6702284359638453, 15, 14.928571428571429, True
55, 0.6599053553852231, 14, 14.413793103448276, False
65, 0.6396941225392683, 14, 15.200000000000001, False
54, 0.6073070050708609, 12, 14.413793103448276, False
41, 0.6033420172216364, 11, 13.483870967741936, False
17, 0.5971483926322718, 11, 13.704918032786884, False
37, 0.5774375857984395, 9, 12.115942028985508, False
32, 0.5527769856461895, 7, 10.45, False
62, 0.5501202766208588, 8, 11.774647887323944, False
34, 0.5472156641810091, 13, 18.17391304347826, False
38, 0.5202607721083072, 10, 15.481481481481481, False
50, 0.5189974113925283, 9, 14.16949152542373, False
56, 0.4927295773082424, 7, 12.294117647058824, False
7, 0.47644793611373026, 8, 14.413793103448276, False
36, 0.4724934900663984, 6, 11.452054794520548, False
68, 0.45453938157374973, 7, 13.704918032786884, False
31, 0.45171763100615425, 8, 15.481481481481481, False
12, 0.44888332628280514, 7, 13.933333333333334, False
9, 0.4324940571622621, 8, 16.392156862745097, False
67, 0.42215346242075535, 6, 13.269841269841269, False
44, 0.42215346242075535, 6, 13.269841269841269, False
69, 0.42202432201246276, 5, 11.452054794520548, False
45, 0.4116063522524578, 6, 13.704918032786884, False
18, 0.36529407804265124, 5, 13.704918032786884, False
35, 0.3505976136292487, 6, 16.72, False
60, 0.3301109887943412, 5, 15.481481481481481, False
43, 0.3145429053594242, 5, 16.392156862745097, False
8, 0.31090798241129014, 4, 13.933333333333334, False
48, 0.292963838796524, 4, 14.928571428571429, False
61, 0.26633938540280455, 2, 10.195121951219512, False
57, 0.25762767177298773, 3, 13.933333333333334, False
39, 0.23675978815091447, 2, 11.61111111111111, False
33, 0.218636098556641, 2, 12.666666666666668, False
24, 0.21861499200037904, 3, 16.72, False
26, 0.20258710311463535, 3, 18.17391304347826, False
4, 0.16573242437916302, 2, 17.06122448979592, False
6, 0.15386409422861214, 1, 12.477611940298507, False
47, 0.1516620498614959, 1, 12.666666666666668, False
15, 0.14282525583205508, 1, 13.483870967741936, False
22, 0.14060890318445085, 1, 13.704918032786884, False
42, 0.13394267530505244, 1, 14.413793103448276, False
64, 0.08014354066985652, 0, 12.477611940298507, False
14, 0.07416267942583732, 0, 13.483870967741936, False
19, 0.0717703349282297, 0, 13.933333333333334, False
5, 0.06578947368421051, 0, 15.200000000000001, False
46, 0.05980861244019142, 0, 16.72, False
